UV index;sun days;sun hours;Rh;MXT;MNT;prectot;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;Rasio;Tingkat_mutasi
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0;0
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0;0
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
1;14;188;83.58;5.24;-2.4;2.01;1;13;141.5;83.77;5.84;-1.93;2.71;2;10;173.5;80.99;10.98;1.41;3.11;3;7;151;77.77;12.63;3.08;3.99;5;14;223;76.08;18.4;8.14;2.01;6;11;239;74.16;26.17;15.7;2.4;0.000265;1
